Timestamp,Emotion,Gaze,Score,Blink Rate,Yaw
2026-01-08 01:58:51,No Face,Focused,100,0,0
2026-01-08 01:58:52,No Face,Focused,100,0,0
2026-01-08 01:58:52,No Face,Focused,100,0,0
2026-01-08 01:58:52,No Face,Focused,100,0,0
2026-01-08 01:58:53,No Face,Focused,100,0,0
2026-01-08 01:58:53,No Face,Focused,100,0,0
2026-01-08 01:58:53,No Face,Focused,100,0,0
2026-01-08 01:58:53,No Face,Focused,100,0,0
2026-01-08 01:58:54,No Face,Focused,100,0,0
2026-01-08 01:58:54,No Face,Focused,100,0,0
2026-01-08 01:58:55,No Face,Focused,100,0,0
2026-01-08 01:58:55,No Face,Focused,100,0,0
2026-01-08 01:58:55,No Face,Focused,100,0,0
2026-01-08 01:58:55,No Face,No Face,100,0,0
2026-01-08 01:58:56,No Face,Focused,100,0,0
2026-01-08 01:58:56,No Face,Focused,100,0,0
2026-01-08 01:58:57,No Face,Focused,100,0,0
2026-01-08 01:58:57,No Face,Focused,100,0,0
2026-01-08 01:58:57,No Face,Focused,100,0,0
2026-01-08 01:58:57,No Face,Focused,100,0,0
2026-01-08 01:58:58,No Face,Focused,100,0,0
2026-01-08 01:58:58,No Face,Focused,100,0,0
2026-01-08 01:58:58,No Face,Focused,100,0,0
2026-01-08 01:58:59,Surprise,No Face,100,0,0
2026-01-08 01:59:00,No Face,No Face,100,0,0
2026-01-08 01:59:00,No Face,No Face,100,0,0
2026-01-08 01:59:01,Surprise,No Face,100,0,0
2026-01-08 01:59:01,Surprise,Focused,100,0,0
2026-01-08 01:59:02,Surprise,No Face,100,0,0
2026-01-08 01:59:02,Surprise,No Face,100,0,0
2026-01-08 01:59:03,No Face,Focused,100,0,0
2026-01-08 01:59:03,No Face,Focused,100,0,0
2026-01-08 01:59:04,No Face,Focused,100,0,0
2026-01-08 01:59:04,Surprise,Focused,100,0,0
2026-01-08 01:59:05,No Face,Focused,100,0,0
2026-01-08 01:59:05,No Face,Focused,100,0,0
2026-01-08 01:59:05,No Face,Focused,100,0,0
2026-01-08 01:59:06,No Face,Focused,100,0,0
2026-01-08 01:59:06,No Face,Focused,100,0,0
2026-01-08 01:59:06,No Face,Focused,100,0,0
2026-01-08 01:59:06,No Face,Focused,100,0,0
2026-01-08 01:59:07,No Face,Focused,100,0,0
2026-01-08 01:59:07,No Face,No Face,100,0,0
2026-01-08 01:59:07,No Face,No Face,100,0,0
2026-01-08 01:59:08,No Face,No Face,100,0,0
2026-01-08 01:59:08,No Face,No Face,100,0,0
2026-01-08 01:59:08,No Face,No Face,100,0,0
2026-01-08 01:59:09,No Face,No Face,100,0,0
2026-01-08 01:59:09,No Face,No Face,100,0,0
2026-01-08 01:59:09,No Face,No Face,100,0,0
2026-01-08 01:59:10,No Face,No Face,100,0,0
2026-01-08 01:59:10,No Face,Focused,100,0,0
2026-01-08 01:59:11,No Face,No Face,100,0,0
2026-01-08 01:59:11,No Face,No Face,100,0,0
2026-01-08 01:59:11,No Face,No Face,100,0,0
2026-01-08 01:59:12,No Face,No Face,100,0,0
2026-01-08 01:59:12,No Face,No Face,100,0,0
2026-01-08 01:59:12,No Face,No Face,100,0,0
2026-01-08 01:59:13,No Face,No Face,100,0,0
2026-01-08 01:59:13,No Face,No Face,100,0,0
2026-01-08 01:59:13,No Face,No Face,100,0,0
